sample       total_count  b_cell%    cd8_t_cell%  cd4_t_cell%  nk_cell%   monocyte%   
sample00112  99754        8.12       25.36        32.62        12.3       21.6        
sample00113  108308       8.1        26.7         31.16        9.59       24.44       
sample00114  106352       12.92      27.13        29.51        17.01      13.43       
sample00115  92639        6.18       24.88        31.75        16.37      20.83       
sample00116  99836        6.31       18.87        39.57        19.46      15.79       
sample00117  93271        9.18       30.95        25.16        14.85      19.86       
sample00118  96176        8.64       29.23        27.21        18.13      16.79       
sample00119  109329       9.62       22.18        26.85        14.33      27.02       
sample00120  99469        5.33       25.99        28.44        19.1       21.14       
sample00121  100448       6.08       23.69        27.9         18.8       23.53       
sample00122  102361       9.53       28.11        30.31        11.28      20.76       
sample00123  101404       8.47       26.26        29.48        16.92      18.88       
sample00124  91040        7.93       25.93        31.12        13.54      21.48       
sample00125  108174       16.68      31.86        25.01        12.36      14.1        
sample00126  93769        9.38       23.06        31.37        13.71      22.48       
sample00127  105638       11.87      23.99        23.16        18.78      22.2        
sample00128  102875       9.97       30.28        23.61        15.97      20.17       
sample00129  97799        8.77       25.25        34.57        12.5       18.91       
sample00130  110509       8.59       18.89        26.59        27.11      18.83       
sample00131  94983        14.19      20.68        35.57        12.92      16.65       
sample00132  104383       11.56      21.99        35.8         10.38      20.27       
sample00133  103248       8.71       29.62        37.92        8.05       15.7        
sample00134  94929        5.63       20.91        22.22        20.47      30.77       
sample00135  111728       5.7        27.28        29.88        19.22      17.93       
sample00136  105539       8.98       23.22        34.84        14.5       18.45       
sample00137  103610       12.66      26.7         33.36        9.19       18.1        
sample00138  93142        11.49      26.79        27.98        15.65      18.1        
sample00139  98502        8.38       28.34        33.22        14.2       15.87       
sample00140  94698        10.93      27.72        24.79        17.94      18.61       
sample00141  103696       4.72       27.62        34.39        12.7       20.56       
sample00142  98991        10.48      27.14        32.66        12.25      17.48       
sample00143  95184        8.36       34.04        26.13        20.35      11.12       
sample00144  98439        7.98       37.74        27.81        8.31       18.16       
sample00145  96711        10.15      28.14        25.43        19.17      17.11       
sample00146  108534       1.69       30.02        37.25        9.13       21.92       
sample00147  107835       8.7        25.33        33.25        11.99      20.73       
sample00148  95497        13.05      25.64        29.16        17.41      14.74       
sample00149  106825       7.49       28.87        29.79        16.94      16.91       
sample00150  90252        7.28       25.7         34.02        10.23      22.76       
sample00151  94188        10.66      26.63        20.96        23.3       18.45       
sample00152  101748       9.86       22.71        33.89        15.96      17.59       
sample00153  105449       12.11      26.08        28.46        17.37      15.98       
sample00154  98244        4.94       29.92        29.52        20.62      15.01       
sample00155  98358        9.25       31.67        30.01        15.25      13.82       
sample00156  95669        12.65      23.23        26.44        14.71      22.97       
sample00157  107396       11.92      27.67        24.05        14.25      22.12       
sample00158  99524        9.35       28.83        30.98        16.3       14.54       
sample00159  108497       10.05      28.52        34.25        10.99      16.19       
sample00160  108795       4.52       28.4         34.77        13.81      18.5        
sample00161  108402       10.8       25.01        25.38        21.73      17.08       
sample00162  102499       11.78      25.07        33.45        14.23      15.47       
sample00163  104732       10.84      27.4         36.16        8.1        17.51       
sample00164  100756       11.78      26.66        28.94        8.57       24.04       
sample00165  111486       10.59      17.26        31.5         21.4       19.25       
sample00166  111770       8.23       19.18        29.7         19.46      23.43       
sample00167  108425       8.8        37.02        24.59        11.9       17.7        
sample00168  102412       7.99       32.17        29.65        18.2       11.98       
sample00169  93829        8.64       24.74        35.42        15.65      15.55       
sample00170  98457        8.11       25.56        27.06        14.4       24.88       
sample00171  92121        12.51      25.39        24.21        15.33      22.57       
sample00172  94096        12.08      24.63        30.47        12.47      20.35       
sample00173  96509        7.34       28.52        29.29        10.16      24.7        
sample00174  97817        7.57       22.63        33.7         21.27      14.83       
sample00175  107707       10.6       21.36        34.04        12.67      21.33       
sample00176  97220        7.58       19.02        32.65        13.41      27.33       
sample00177  102788       10.29      29.45        24.78        18.12      17.36       
sample00178  109003       10.44      16.69        32.63        20.73      19.52       
sample00179  95383        4.58       26.15        27.73        16.6       24.95       
sample00180  99526        10.68      24.85        34.42        11.92      18.14       
sample00181  106939       8.99       18.65        34.27        19.03      19.05       
sample00182  96513        8.21       15.21        44.58        13.13      18.87       
sample00183  90271        9.25       25.39        27.59        20.29      17.47       
sample00184  101853       13.5       26.82        28.91        12.25      18.52       
sample00185  90312        9.08       29.17        33.92        12.75      15.09       
sample00186  99781        12.48      32.26        21.18        14.92      19.16       
sample00187  97273        13.76      23.5         26.73        13.34      22.67       
sample00188  93651        10.69      22.41        32.64        13.79      20.48       
sample00189  92269        7.73       27.74        34.81        10.25      19.48       
sample00190  107702       5.42       28.34        27.99        12.94      25.31       
sample00191  97633        10.91      31.19        26.41        12.55      18.95       
sample00192  93422        10.16      23.92        32.01        12.54      21.38       
sample00193  104288       12.1       21.84        32.47        16.61      16.98       
sample00194  94766        8.7        22.2         34.67        15.5       18.92       
sample00195  110093       8.7        21.28        28.66        15.47      25.88       
sample00196  106348       5.26       21.01        33.07        19.52      21.13       
sample00197  105242       11.25      31.72        23.28        11.87      21.89       
sample00198  112100       10.66      23.55        23.09        12.24      30.46       
sample00199  98854        14.89      18.24        33.05        11.69      22.13       
sample00200  98997        10.24      25.83        33.24        12.21      18.49       
sample00201  107968       11.58      20.95        31.15        15.1       21.22       
sample00202  109619       11.16      24.15        27.22        11.96      25.51       
sample00203  89878        11.41      26.06        29.48        8.9        24.14       
sample00204  106620       12.21      26.19        28.14        12.7       20.77       
sample00205  101142       7.99       24.54        27.88        16.48      23.1        
sample00206  108697       9.86       28.17        32.6         11.75      17.63       
sample00207  104367       8.16       26.6         29.38        12.81      23.05       
sample00208  109160       10.36      22.18        36.48        15.11      15.88       
sample00209  105179       11.22      24.99        33.26        12.61      17.92       
sample00210  97792        6.82       26.63        25.76        11.7       29.09       
sample00211  94532        8.43       30.06        32.31        11.37      17.83       
sample00212  110959       16.5       20.26        28.7         9.47       25.08       
sample00213  98753        11.74      23.71        33.97        15.35      15.22       
sample00214  102152       13.33      25.96        23.09        13.17      24.46       
sample00215  90715        8.97       26.64        31.77        11.39      21.23       
sample00216  101474       8.28       19.77        34.86        13.69      23.4        
sample00217  95714        5.9        26.52        22.59        13.56      31.43       
sample00218  113235       18.21      23.39        33.18        11.54      13.69       
sample00219  105888       7.52       20.88        34.29        20.78      16.53       
sample00220  93958        9.43       24.47        40.97        12.61      12.52       
sample00221  104061       12.41      24.26        27.02        19.91      16.4        
sample00222  106140       5.9        17.0         31.9         13.67      31.53       
sample00223  91476        9.32       23.1         29.59        15.92      22.07       
sample00224  101328       11.12      24.36        34.85        8.68       20.99       
sample00225  111440       9.61       22.59        25.85        20.03      21.93       
sample00226  95701        14.39      26.94        30.25        14.51      13.91       
sample00227  106893       8.87       23.91        32.2         16.95      18.07       
sample00228  93013        9.49       24.95        29.65        16.62      19.29       
sample00229  106797       10.34      23.86        34.72        9.98       21.1        
sample00230  93651        7.42       27.46        26.96        15.16      23.0        
sample00231  95358        10.17      30.27        23.95        11.67      23.94       
sample00232  93759        7.78       31.91        24.58        14.36      21.38       
sample00233  94611        10.32      25.51        31.63        15.34      17.2        
sample00234  111970       6.62       27.53        26.62        18.46      20.78       
sample00235  96083        9.85       25.76        35.15        11.46      17.78       
sample00236  99310        8.61       28.24        30.55        12.79      19.81       
sample00237  108155       21.5       17.36        29.08        13.5       18.56       
sample00238  101242       7.52       16.94        32.73        15.76      27.05       
sample00239  102950       4.9        26.78        38.84        10.74      18.74       
sample00240  100921       5.31       22.39        32.16        9.58       30.56       
sample00241  112118       13.89      30.22        24.67        14.67      16.55       
sample00242  105035       9.2        19.34        31.63        15.36      24.47       
sample00243  98635        5.06       23.3         32.83        17.56      21.25       
sample00244  97287        3.59       26.02        36.55        16.31      17.52       
sample00245  96046        12.9       20.39        33.56        8.94       24.21       
sample00246  109803       12.15      33.93        23.98        14.05      15.9        
sample00247  105744       14.22      23.43        23.74        12.8       25.81       
sample00248  90857        12.16      24.14        31.66        11.18      20.87       
sample00249  98477        14.1       26.43        24.16        15.67      19.64       
sample00250  103559       10.29      24.47        23.75        18.68      22.81       
sample00251  98386        8.89       21.78        30.25        13.97      25.1        
sample00252  101735       10.52      27.49        24.52        20.68      16.79       
sample00253  109246       9.48       33.04        27.3         16.45      13.73       
sample00254  98783        6.27       21.9         44.92        16.94      9.97        
sample00255  92275        16.3       21.82        28.04        11.82      22.02       
sample00256  103438       7.03       25.57        27.86        18.06      21.49       
sample00257  100747       7.36       22.88        28.03        16.68      25.05       
sample00258  109680       4.74       27.43        36.0         11.58      20.25       
sample00259  100600       4.67       27.91        30.56        20.56      16.3        
sample00260  101772       7.09       32.31        22.61        19.11      18.88       
sample00261  110763       8.6        33.47        24.67        12.99      20.28       
sample00262  99327        8.75       26.87        35.82        13.43      15.13       
sample00263  97454        10.39      25.08        32.26        20.95      11.32       
sample00264  103560       15.15      24.36        32.57        16.18      11.74       
sample00265  100924       9.81       18.93        43.75        12.53      14.97       
sample00266  99361        12.0       21.99        26.09        11.64      28.28       
sample00267  94452        17.62      26.09        26.35        11.58      18.37       
sample00268  102994       7.83       19.16        27.39        18.0       27.62       
sample00269  103545       9.36       21.19        28.84        21.25      19.36       
sample00270  96631        10.17      21.94        29.84        17.98      20.06       
sample00271  96200        14.65      22.09        25.15        14.56      23.55       
sample00272  110623       8.51       26.99        36.21        15.41      12.88       
sample00273  93092        3.37       20.61        25.05        25.63      25.34       
sample00274  92538        4.17       23.32        44.67        12.67      15.17       
sample00275  105369       7.04       27.68        29.04        13.49      22.75       
sample00276  99603        12.66      26.64        32.77        11.41      16.52       
sample00277  109063       9.13       23.76        30.47        14.81      21.83       
sample00278  97256        10.75      24.09        35.95        10.17      19.05       
sample00279  104522       9.7        24.37        26.9         9.09       29.94       
sample00280  91664        8.22       24.27        34.68        11.34      21.49       
sample00281  107620       6.96       35.41        30.31        9.8        17.52       
sample00282  106309       6.9        30.09        23.01        24.42      15.58       
sample00283  98356        8.87       23.47        34.97        13.28      19.41       
sample00284  108256       6.75       27.72        26.17        11.28      28.08       
sample00285  90622        15.57      20.22        35.55        11.62      17.04       
sample00286  103894       8.32       21.83        29.31        15.67      24.87       
sample00287  96806        9.29       34.06        23.39        15.64      17.62       
sample00288  93503        9.19       25.93        30.37        16.87      17.63       
sample00289  108005       13.35      22.83        29.96        16.69      17.18       
sample00290  103258       7.43       31.9         27.55        12.98      20.15       
sample00291  94092        8.41       23.16        23.31        15.8       29.33       
sample00292  94934        10.17      28.0         21.11        12.53      28.19       
sample00293  90575        7.1        22.01        26.49        20.85      23.54       
sample00294  101871       8.1        24.27        33.06        17.53      17.05       
sample00295  102261       10.89      19.78        32.72        11.9       24.71       
sample00296  89470        13.35      30.39        32.23        13.05      10.97       
sample00297  112152       18.17      23.06        24.89        15.79      18.09       
sample00298  99875        5.14       24.97        21.48        17.12      31.29       
sample00299  104916       14.42      17.24        41.64        12.97      13.73       
sample00300  103797       7.43       27.41        34.54        12.67      17.96       
sample00301  110284       14.08      23.64        31.95        8.66       21.66       
sample00302  103008       9.6        38.64        27.86        10.33      13.56       
sample00303  105180       12.73      22.07        23.44        16.06      25.7        
sample00304  101745       5.77       26.79        36.69        11.87      18.89       
sample00305  99613        6.15       27.06        39.23        10.25      17.31       
sample00306  111002       7.06       30.68        29.84        11.2       21.23       
sample00307  104495       11.3       30.24        23.83        11.86      22.77       
sample00308  109273       13.74      24.85        32.71        9.66       19.03       
sample00309  107607       6.1        23.0         31.73        18.63      20.55       
sample00310  93581        11.44      23.55        31.98        16.26      16.77       
sample00311  94335        9.53       23.05        31.3         17.93      18.19       
sample00312  92487        11.83      20.55        32.53        17.32      17.76       
sample00313  94671        6.29       19.03        37.34        14.28      23.07       
sample00314  94281        9.81       24.51        31.17        12.57      21.93       
sample00315  116268       8.49       28.43        31.91        14.7       16.47       
sample00316  112316       12.66      29.39        25.12        7.43       25.4        
sample00317  102654       10.15      19.37        38.46        9.96       22.05       
sample00318  100548       7.76       33.58        23.94        17.47      17.25       
sample00319  106181       8.2        28.47        32.87        15.98      14.47       
sample00320  93754        13.2       27.55        27.01        9.85       22.39       
sample00321  103793       9.19       26.71        30.08        18.74      15.28       
sample00322  100492       11.2       27.93        28.41        11.49      20.96       
sample00323  105534       7.62       26.33        33.95        18.51      13.59       
sample00324  107593       5.42       23.67        19.54        23.33      28.04       
sample00325  102479       9.2        25.04        25.45        17.75      22.57       
sample00326  97661        12.39      14.61        37.43        11.73      23.84       
sample00327  98632        12.26      22.48        30.58        15.94      18.74       
sample00328  96267        12.04      25.87        26.3         16.73      19.07       
sample00329  107732       9.7        21.45        32.6         18.16      18.09       
sample00330  100711       6.89       33.64        27.96        15.7       15.81       
sample00331  107209       17.11      20.47        27.46        8.14       26.82       
sample00332  97673        5.88       30.46        28.59        18.88      16.19       
sample00333  97084        12.62      21.71        34.52        5.77       25.39       
sample00334  101241       13.7       15.94        31.94        13.01      25.4        
sample00335  102261       9.39       18.9         32.54        12.83      26.35       
sample00336  110565       8.96       20.52        40.7         12.9       16.93       
sample00337  106316       13.84      26.66        37.21        9.66       12.63       
sample00338  97580        7.54       34.16        26.51        9.96       21.83       
sample00339  92218        9.28       19.33        26.95        12.77      31.67       
sample00340  100356       8.0        17.57        37.26        20.2       16.97       
sample00341  97245        7.43       29.58        33.78        11.24      17.98       
sample00342  107881       7.97       37.51        27.52        10.93      16.08       
sample00343  100349       9.56       25.88        27.03        9.03       28.5        
sample00344  96519        8.35       19.17        43.84        15.3       13.34       
sample00345  107987       12.75      22.16        30.3         18.84      15.95       
sample00346  104625       11.44      30.26        30.46        15.85      11.98       
sample00347  94187        12.44      19.74        35.3         18.95      13.57       
sample00348  97518        13.56      24.88        29.82        13.03      18.71       
sample00349  104257       12.48      21.18        30.31        18.57      17.46       
sample00350  107703       4.06       30.82        24.76        19.49      20.86       
sample00351  102814       11.2       30.11        28.42        7.38       22.89       
sample00352  103597       13.11      18.87        28.71        18.38      20.93       
sample00353  104276       17.27      23.05        26.17        12.26      21.25       
sample00354  97323        14.88      27.51        30.19        12.67      14.75       
sample00355  103832       11.68      16.61        28.19        15.29      28.22       
sample00356  105730       6.28       19.89        35.55        17.99      20.29       
sample00357  93329        8.74       25.31        31.09        15.35      19.5        
sample00358  93905        10.22      30.26        33.17        12.45      13.9        
sample00359  100636       12.75      29.87        22.82        15.94      18.61       
sample00360  96753        12.43      20.65        32.35        13.04      21.53       
sample00361  96891        13.12      22.4         26.1         13.53      24.84       
sample00362  99862        7.84       26.9         34.41        11.89      18.97       
sample00363  98142        5.51       21.8         37.72        11.98      23.0        
sample00364  95935        12.32      29.02        27.53        13.14      17.99       
sample00365  100454       10.35      21.5         34.26        11.38      22.51       
sample00366  94915        7.7        18.69        30.24        18.01      25.36       
sample00367  105414       7.52       21.21        32.9         13.59      24.77       
sample00368  99427        9.03       23.11        26.15        18.3       23.41       
sample00369  99288        9.7        34.62        26.66        10.2       18.81       
sample00370  103267       13.45      24.12        24.35        14.15      23.94       
sample00371  94340        3.98       22.26        31.8         16.75      25.2        
sample00372  100936       13.62      23.83        20.94        20.34      21.27       
sample00373  91708        7.48       31.16        21.79        23.27      16.3        
sample00374  104503       13.31      25.81        25.61        13.55      21.71       
sample00375  97797        3.91       22.64        28.88        13.75      30.82       
sample00376  92810        7.47       20.15        36.39        11.28      24.71       
sample00377  95723        9.94       34.86        27.22        13.08      14.91       
sample00378  101500       12.88      23.66        29.35        17.97      16.13       
sample00379  105343       16.26      30.17        22.99        12.1       18.48       
sample00380  95275        5.99       29.04        36.05        15.17      13.75       
sample00381  104703       16.47      23.06        22.79        15.0       22.68       
sample00382  98643        10.85      26.76        26.44        16.27      19.67       
sample00383  106233       12.39      26.19        33.49        15.04      12.9        
sample00384  105260       6.22       25.25        29.03        18.4       21.09       
sample00385  96454        16.75      21.67        23.56        14.7       23.32       
sample00386  103365       13.43      23.96        22.25        12.94      27.42       
sample00387  99423        12.22      28.97        35.26        11.11      12.43       
sample00388  99530        13.15      23.99        30.98        14.88      16.99       
sample00389  93603        9.53       19.37        38.56        15.97      16.58       
sample00390  109300       7.92       25.7         27.61        20.9       17.86       
sample00391  97852        11.4       23.19        23.43        21.09      20.89       
sample00392  103588       11.58      16.33        36.43        13.17      22.49       
sample00393  102404       9.53       25.9         27.28        14.02      23.27       
sample00394  101115       6.25       31.91        34.72        12.37      14.75       
sample00395  92420        8.71       22.8         30.35        15.91      22.24       
sample00396  95667        8.03       23.44        43.19        8.38       16.96       
sample00397  107097       9.71       31.74        30.78        12.96      14.81       
sample00398  96956        8.53       20.59        27.28        16.81      26.79       
sample00399  102314       9.75       17.69        39.41        15.2       17.94       
sample00400  95600        13.17      23.55        40.01        5.6        17.66       
sample00401  100878       7.36       22.58        32.4         14.35      23.31       
sample00402  91145        5.96       26.49        30.23        10.06      27.25       
sample00403  104802       8.88       22.42        33.18        10.77      24.75       
sample00404  95275        9.14       17.91        28.72        25.8       18.44       
sample00405  95002        11.36      21.84        35.08        14.83      16.89       
sample00406  93195        13.09      22.77        32.76        12.32      19.06       
sample00407  88331        8.44       23.57        26.8         21.41      19.77       
sample00408  104028       10.73      24.12        32.32        14.85      17.97       
sample00409  104053       10.33      21.41        29.63        14.85      23.78       
sample00410  105448       14.52      28.15        23.78        12.72      20.83       
sample00411  107991       14.3       11.17        37.89        14.47      22.18       
sample00412  98963        4.79       26.71        27.86        19.06      21.58       
sample00413  110787       7.57       24.6         34.65        15.51      17.67       
sample00414  92653        7.2        21.6         26.16        19.43      25.61       
sample00415  106472       10.99      25.65        22.34        14.81      26.21       
sample00416  90342        7.61       21.24        39.26        10.79      21.11       
sample00417  90044        10.48      30.0         27.73        12.13      19.66       
sample00418  91743        10.1       19.71        29.87        17.8       22.5        
sample00419  100623       10.62      23.53        29.05        16.53      20.27       
sample00420  98203        10.51      19.98        33.24        14.91      21.36       
sample00421  107968       9.19       30.09        25.55        11.6       23.57       
sample00422  100628       7.04       25.53        32.92        14.65      19.86       
sample00423  102847       21.74      23.8         28.33        10.52      15.61       
sample00424  101019       11.57      32.82        28.8         14.84      11.97       
sample00425  92906        7.3        24.96        36.04        16.31      15.39       
sample00426  96997        12.57      27.22        28.86        11.53      19.83       
sample00427  93526        12.05      27.75        24.39        14.78      21.02       
sample00428  93130        4.24       27.67        37.84        15.96      14.29       
sample00429  106699       7.61       24.31        28.99        13.85      25.24       
sample00430  105592       8.34       20.66        33.87        13.51      23.62       
sample00431  105105       7.13       28.62        29.24        16.44      18.57       
sample00432  107031       10.37      25.27        33.38        10.01      20.97       
sample00433  95490        11.4       24.9         27.4         13.09      23.2        
sample00434  97386        9.05       32.93        29.43        11.96      16.63       
sample00435  107516       9.84       29.09        28.88        13.02      19.17       
sample00436  90324        7.27       22.26        27.6         18.88      23.98       
sample00437  97610        9.99       30.26        26.83        12.16      20.76       
sample00438  97015        10.2       15.56        30.61        20.38      23.26       
sample00439  104091       12.14      28.43        35.61        11.4       12.42       
sample00440  108621       10.06      19.78        28.96        17.77      23.43       
sample00441  95084        11.49      27.34        24.99        15.16      21.02       
sample00442  108059       8.81       26.18        36.43        10.32      18.25       
sample00443  97597        12.8       18.47        28.25        24.75      15.74       
sample00444  101849       15.45      25.0         23.47        14.56      21.53       
sample00445  93161        11.09      24.05        30.75        13.58      20.52       
sample00446  98043        8.61       19.56        41.97        8.8        21.06       
sample00447  98729        7.68       22.23        27.15        15.95      27.0        
sample00448  105500       5.61       23.18        31.98        11.17      28.07       
sample00449  99023        8.88       28.91        30.99        18.31      12.91       
sample00450  107956       6.94       24.16        31.63        22.48      14.79       
sample00451  95691        8.82       29.34        27.21        18.23      16.4        
sample00452  100052       8.1        20.09        36.42        12.97      22.41       
sample00453  93623        13.04      17.7         37.75        15.32      16.19       
sample00454  97620        12.41      25.61        32.57        12.04      17.36       
sample00455  105393       16.91      15.28        28.51        13.67      25.63       
sample00456  108018       10.39      33.07        26.13        15.39      15.03       
sample00457  108621       13.97      18.89        24.92        21.49      20.73       
sample00458  96564        11.19      22.34        31.9         19.18      15.39       
sample00459  96487        7.74       24.39        31.82        18.09      17.97       
sample00460  101893       7.79       24.81        32.52        16.07      18.81       
sample00461  101052       12.61      24.21        32.21        14.37      16.6        
sample00462  96069        10.31      25.79        27.85        13.69      22.35       
sample00463  93077        8.59       31.69        28.02        11.49      20.21       
sample00464  99154        8.28       28.35        29.78        14.73      18.87       
sample00465  93629        7.04       28.64        27.37        19.16      17.79       
sample00466  99232        15.98      23.45        29.63        9.36       21.58       
sample00467  93276        15.71      24.38        24.78        10.15      24.98       
sample00468  88938        11.18      20.44        22.54        21.43      24.42       
sample00469  103239       10.56      29.83        29.54        14.11      15.96       
sample00470  98113        12.6       29.49        29.69        10.87      17.35       
sample00471  106307       6.03       23.16        36.18        13.91      20.71       
sample00472  98089        9.12       27.36        28.12        15.28      20.13       
sample00473  90146        9.47       17.64        32.65        21.42      18.83       
sample00474  87975        16.36      24.22        26.78        13.49      19.16       
sample00475  95258        7.32       35.46        28.8         14.97      13.45       
sample00476  89907        13.36      29.37        26.55        11.18      19.54       
sample00477  103246       9.08       24.14        30.57        15.83      20.38       
sample00478  103728       11.39      31.99        26.26        13.07      17.29       
